campaign,network_profile,protocol,auth_mode,sig_alg,kem,kem_class,pcap_file,total_bytes,total_packets,ClientHello_bytes,ServerHello_bytes,EncryptedExtensions_bytes,Certificate_bytes,CertificateVerify_bytes,Finished_bytes,CertificateRequest_bytes,NewSessionTicket_bytes
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,p384_hqc192_simple_loss1.3_delay62.51ms_20260826_134808,hybride,capture_quic_single_secp384r1_p384_hqc192_simple_loss1.3_delay62.51ms_20260826_134808.pcap,19221,5,5005,9129,115,440,107,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,p384_mlkem768_simple_loss1.3_delay62.51ms_20260826_134647,hybride,capture_quic_single_secp384r1_p384_mlkem768_simple_loss1.3_delay62.51ms_20260826_134647.pcap,6403,4,1667,1239,115,439,107,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,x448_hqc192_simple_loss1.3_delay62.51ms_20260826_134828,hybride,capture_quic_single_secp384r1_x448_hqc192_simple_loss1.3_delay62.51ms_20260826_134828.pcap,19179,5,4964,9088,115,439,107,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,x448_mlkem768_simple_loss1.3_delay62.51ms_20260826_134706,hybride,capture_quic_single_secp384r1_x448_mlkem768_simple_loss1.3_delay62.51ms_20260826_134706.pcap,6403,4,1626,1198,115,440,108,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,x448_simple_loss1.3_delay62.51ms_20260826_134626,classique,capture_quic_single_secp384r1_x448_simple_loss1.3_delay62.51ms_20260826_134626.pcap,3963,4,450,110,115,439,108,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp521r1,P-521_simple_loss1.3_delay62.51ms_20260826_134848,classique,capture_quic_single_secp521r1_P-521_simple_loss1.3_delay62.51ms_20260826_134848.pcap,3963,4,527,187,115,514,143,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp521r1,hqc256_simple_loss1.3_delay62.51ms_20260826_134949,pq_pur,capture_quic_single_secp521r1_hqc256_simple_loss1.3_delay62.51ms_20260826_134949.pcap,33444,13,7631,14475,115,514,143,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp521r1,mlkem1024_simple_loss1.3_delay62.51ms_20260826_134928,pq_pur,capture_quic_single_secp521r1_mlkem1024_simple_loss1.3_delay62.51ms_20260826_134928.pcap,6602,4,1954,1622,115,514,142,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp521r1,p521_hqc256_simple_loss1.3_delay62.51ms_20260826_135009,hybride,capture_quic_single_secp521r1_p521_hqc256_simple_loss1.3_delay62.51ms_20260826_135009.pcap,33277,12,7764,14608,NA,NA,NA,48,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp521r1,p521_mlkem1024_simple_loss1.3_delay62.51ms_20260826_134908,hybride,capture_quic_single_secp521r1_p521_mlkem1024_simple_loss1.3_delay62.51ms_20260826_134908.pcap,6735,4,2087,1755,115,513,143,96,NA,NA
simple_loss1.3_delay62.51ms,tls,tls,single,ed25519,P-256_simple_loss1.3_delay62.51ms_20260826_132843,classique,capture_tls_single_ed25519_P-256_simple_loss1.3_delay62.51ms_20260826_132843.pcap,2844,16,424,151,2,313,68,96,NA,458
simple_loss1.3_delay62.51ms,tls,tls,single,ed25519,hqc128_simple_loss1.3_delay62.51ms_20260826_133027,pq_pur,capture_tls_single_ed25519_hqc128_simple_loss1.3_delay62.51ms_20260826_133027.pcap,9652,20,2600,4519,2,313,68,96,NA,458
simple_loss1.3_delay62.51ms,tls,tls,single,ed25519,mlkem512_simple_loss1.3_delay62.51ms_20260826_133007,pq_pur,capture_tls_single_ed25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_133007.pcap,4274,16,1151,854,2,313,68,96,NA,458
