protocol,network,file,flightend_proxy_ms,confirmed_ms,delta_confirm_ms,client_finished_ms,note
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_hqc192_simple_loss1.5833_delay83.52ms_20260826_140942.pcap,,,,580.285,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_x25519_simple_loss1.5833_delay83.52ms_20260826_135805.pcap,,,,340.886,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_mlkem768_simple_loss1.5833_delay83.52ms_20260826_140157.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_hqc128_simple_loss1.5833_delay83.52ms_20260826_135928.pcap,,,,380.15,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_p384_mlkem768_simple_loss1.5833_delay83.52ms_20260826_140114.pcap,,,,365.8919999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp521r1_mlkem1024_simple_loss1.5833_delay83.52ms_20260826_140403.pcap,,,,348.75199999999995,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_hqc192_simple_loss1.5833_delay83.52ms_20260826_140218.pcap,,,,461.4149999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_p256_mlkem512_simple_loss1.5833_delay83.52ms_20260826_140550.pcap,,,,372.83900000000017,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp521r1_hqc256_simple_loss1.5833_delay83.52ms_20260826_140424.pcap,,,,672.2719999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_p384_hqc192_simple_loss1.5833_delay83.52ms_20260826_140239.pcap,,,,473.9689999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_mlkem512_simple_loss1.5833_delay83.52ms_20260826_135908.pcap,,,,342.5220000000002,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa87_mlkem1024_simple_loss1.5833_delay83.52ms_20260826_141129.pcap,,,,507.1780000000001,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_x25519_hqc128_simple_loss1.5833_delay83.52ms_20260826_140011.pcap,,,,397.529,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp521r1_P-521_simple_loss1.5833_delay83.52ms_20260826_140321.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_hqc128_simple_loss1.5833_delay83.52ms_20260826_140653.pcap,,,,395.05199999999996,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_x25519_mlkem512_simple_loss1.5833_delay83.52ms_20260826_140611.pcap,,,,342.24300000000005,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_x448_mlkem768_simple_loss1.5833_delay83.52ms_20260826_140135.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_P-384_simple_loss1.5833_delay83.52ms_20260826_140032.pcap,,,,351.4440000000001,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_x25519_mlkem512_simple_loss1.5833_delay83.52ms_20260826_135847.pcap,,,,343.91700000000003,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_x448_mlkem768_simple_loss1.5833_delay83.52ms_20260826_140901.pcap,,,,348.371,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp521r1_p521_hqc256_simple_loss1.5833_delay83.52ms_20260826_140445.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_mlkem512_simple_loss1.5833_delay83.52ms_20260826_140632.pcap,,,,1015.9110000000001,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_mlkem768_simple_loss1.5833_delay83.52ms_20260826_140922.pcap,,,,342.2239999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_P-384_simple_loss1.5833_delay83.52ms_20260826_140757.pcap,,,,346.479,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_p384_mlkem768_simple_loss1.5833_delay83.52ms_20260826_140840.pcap,,,,374.45099999999985,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_x25519_hqc128_simple_loss1.5833_delay83.52ms_20260826_140736.pcap,,,,396.68799999999993,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_x448_simple_loss1.5833_delay83.52ms_20260826_140819.pcap,,,,345.10399999999987,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa87_p521_mlkem1024_simple_loss1.5833_delay83.52ms_20260826_141108.pcap,,,,531.244,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa87_hqc256_simple_loss1.5833_delay83.52ms_20260826_141150.pcap,,,,674.6839999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_P-256_simple_loss1.5833_delay83.52ms_20260826_135744.pcap,,,,342.765,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_x448_simple_loss1.5833_delay83.52ms_20260826_140053.pcap,,,,348.7899999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_p384_hqc192_simple_loss1.5833_delay83.52ms_20260826_141004.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp384r1_x448_hqc192_simple_loss1.5833_delay83.52ms_20260826_140259.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_P-256_simple_loss1.5833_delay83.52ms_20260826_140506.pcap,,,,,Client Finished not found (decryption failed?)
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_p256_mlkem512_simple_loss1.5833_delay83.52ms_20260826_142053.pcap,258.73999999999995,426.29800000000006,167.5580000000001,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa87_hqc256_simple_loss1.5833_delay83.52ms_20260826_142645.pcap,2313.7749999999996,2481.4800000000005,167.7050000000002,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_ed25519_P-256_simple_loss1.5833_delay83.52ms_20260826_141234.pcap,84.78300000000006,,,,HANDSHAKE_DONE not found (decryption failed or frame absent)
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp384r1_p384_mlkem768_simple_loss1.5833_delay83.52ms_20260826_141613.pcap,94.04800000000013,267.5940000000001,173.546,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_p384_mlkem768_simple_loss1.5833_delay83.52ms_20260826_142338.pcap,262.95999999999987,430.6969999999999,167.73700000000002,,
