P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
5.53,5.49,19.11,5.69,4.97
6.59,7.31,10.83,5.56,5.58
6.05,6.29,9.44,5.89,5.05
5.89,7.57,10.51,5.59,4.74
6.5,5.41,9.23,5.47,4.82
5.39,5.19,14.11,5.7,5.18
6.08,6.13,21.82,5.66,4.75
5.38,5.83,21.49,5.85,4.61
5.88,4.49,18.89,6.5,4.62
5.46,2.26,10.4,5.97,5.39
6.35,3.23,9.64,5.6,5.82
5.47,2.54,9.97,5.59,5.02
5.93,2.56,10.68,5.54,4.7
6.68,2.6,11.71,5.84,4.65
5.41,2.52,11.91,5.55,2.7
6.2,2.96,12.44,5.49,2.23
6.3,2.86,12.74,5.52,2.28
5.41,3.52,18.34,6.9,2.36
5.43,3.04,21.06,5.38,2.7
6.26,3.58,21.55,5.65,2.59
3.77,4.38,21.98,5.59,3.1
3.81,2.79,22.07,5.59,5.27
3.77,3.79,21.4,6.03,4.95
3.73,3.1,20.97,5.63,4.96
4.46,2.63,20.46,5.68,5.56
4.25,2.67,12.72,5.56,4.96
4.81,2.5,11.8,5.66,4.64
6.85,2.56,20.12,6.14,5.47
7.26,2.56,21.22,5.56,5.06
5.94,2.51,19.92,5.08,5.37
7.43,2.77,21.15,7.78,4.75
5.43,2.96,21.05,5.22,4.67
7.78,3.32,24.5,5.13,4.83
7.05,3.02,23.34,5.19,5.27
6.35,2.97,21.73,5.79,4.67
6.96,3.51,21.31,6.58,5.48
6.56,4.36,21.24,5.46,4.9
7.82,3.59,23.57,5.64,4.84
7.81,3.23,23.47,5.6,5.07
6.88,4.45,22.1,5.62,4.88
6.8,3.79,22.57,5.91,4.66
5.95,3.38,21.0,5.67,4.71
6.09,3.04,22.97,5.68,5.02
5.85,3.62,21.08,5.68,5.23
4.16,3.98,22.72,5.49,5.14
3.52,6.04,21.72,6.34,4.87
2.65,7.1,21.7,5.81,5.36
2.76,5.37,21.81,5.8,4.68
3.9,5.87,21.23,5.55,4.71
5.5,5.17,21.1,5.82,4.67
5.54,8.37,21.68,5.8,5.25
5.89,5.79,22.29,5.59,5.15
6.46,5.1,21.69,5.51,4.75
5.89,6.34,22.05,5.63,4.7
5.47,5.18,18.06,5.55,4.82
7.51,5.53,14.87,6.3,4.71
5.53,5.17,19.1,5.57,4.88
6.69,5.54,22.54,5.5,5.1
6.5,6.17,21.66,5.67,5.59
5.52,5.36,20.59,6.73,5.52
6.98,5.19,10.32,5.67,5.27
6.43,5.04,10.91,6.87,4.56
5.4,5.74,9.36,5.79,4.69
6.55,4.66,10.24,5.58,5.29
5.52,4.9,9.56,6.43,4.29
5.88,4.97,9.81,5.63,4.68
5.89,4.66,10.05,5.64,4.84
5.45,4.47,10.69,5.51,5.21
6.7,4.94,11.29,5.46,5.01
6.34,4.68,10.99,6.34,4.68
5.73,5.32,12.45,5.78,4.62
6.25,5.63,13.36,5.46,5.17
6.13,5.26,12.63,5.65,4.63
5.46,5.84,12.68,6.08,4.65
5.29,5.86,12.54,5.83,4.82
6.13,5.14,12.82,5.54,4.82
6.11,5.83,16.36,7.3,5.29
5.72,5.1,22.02,6.06,4.97
5.48,5.35,19.18,5.66,4.96
5.93,7.38,24.05,5.76,4.8
6.74,5.03,22.3,5.61,5.25
6.42,5.5,21.28,5.71,4.6
5.39,7.3,23.75,5.63,5.69
7.02,6.13,21.56,5.8,4.68
5.54,5.56,20.05,6.8,4.78
5.46,7.55,20.92,5.58,4.93
6.58,5.82,20.51,5.59,4.72
5.48,5.13,20.35,5.57,4.98
5.88,5.82,21.61,5.76,5.09
6.48,5.92,21.59,5.82,4.8
5.71,6.24,20.42,5.54,5.1
5.79,5.11,19.18,6.92,5.46
6.38,6.28,12.74,6.19,5.21
6.11,6.49,9.84,5.81,5.4
7.04,5.65,9.4,4.54,4.92
5.52,6.67,9.3,2.81,4.65
6.75,7.42,12.46,2.82,4.85
5.42,5.68,11.3,2.6,5.97
6.13,5.45,15.56,2.66,5.03
6.26,5.12,16.06,3.16,4.73
6.64,5.45,15.68,2.69,4.62
6.4,5.33,22.49,2.62,4.71
5.58,5.62,21.46,2.91,5.94
5.39,5.24,20.95,4.71,4.68
5.35,5.28,20.79,6.01,4.75
6.14,5.96,21.55,5.74,4.7
5.85,5.42,23.2,5.79,5.49
6.0,7.62,23.33,5.47,5.43
5.33,6.39,21.05,5.45,4.59
3.01,5.57,20.72,5.59,5.06
2.44,5.58,21.21,5.83,4.64
2.71,9.02,24.48,6.2,5.23
2.69,6.41,22.46,5.87,4.71
2.67,7.16,21.56,5.68,5.43
2.58,5.68,21.29,5.72,5.23
2.68,6.06,20.45,5.35,4.96
3.29,5.57,23.82,5.64,5.41
3.49,5.4,22.83,5.48,4.59
3.16,5.27,23.38,5.58,4.67
3.98,6.27,21.79,6.13,4.93
5.44,3.47,21.5,6.19,4.83
5.7,2.67,23.19,5.62,4.76
7.01,3.2,22.51,5.52,4.68
5.7,3.12,23.08,5.52,4.68
5.42,3.7,21.05,5.54,5.03
7.16,2.82,20.16,6.01,4.69
6.59,2.88,24.64,5.75,4.69
5.52,3.07,22.18,5.58,4.62
6.58,3.05,22.36,5.57,5.78
6.61,3.65,22.29,5.62,5.34
5.41,3.05,21.14,5.8,5.16
5.82,2.81,22.24,5.62,5.19
5.59,3.3,22.67,5.57,4.83
5.45,3.32,21.75,5.52,5.21
5.89,2.82,21.33,5.97,5.11
5.8,2.9,21.14,5.47,4.75
5.69,2.12,21.86,5.51,4.85
