protocol,auth_mode,network_profile,sig_alg,kem,kem_class,role,n_blocks_cpu,cpu_ms_per_handshake_mean,cpu_ms_ci95,cpu_ms_ci95_method,n_blocks_mem,mem_peak_MiB_mean,mem_MiB_ci95,mem_MiB_ci95_method
quic,single,simple_loss1.3_delay62.51ms,mldsa44,p256_mlkem512,hybride,client,4,39.563,"[31.047, 48.079]",bootstrap_blocs,4,5.76,"[5.641, 5.879]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,p256_mlkem512,hybride,server,4,515.676,"[502.233, 531.313]",bootstrap_blocs,4,10.361,"[10.277, 10.441]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,x25519,classique,client,4,28.609,"[23.076, 34.143]",bootstrap_blocs,4,5.496,"[5.396, 5.642]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,x25519,classique,server,4,500.279,"[488.503, 512.055]",bootstrap_blocs,4,9.201,"[9.190, 9.216]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,x25519_hqc128,hybride,client,4,42.116,"[34.004, 50.227]",bootstrap_blocs,4,5.509,"[5.435, 5.562]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,x25519_hqc128,hybride,server,4,528.892,"[513.316, 545.671]",bootstrap_blocs,4,9.862,"[9.785, 9.944]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,x25519_mlkem512,hybride,client,4,31.226,"[24.917, 37.535]",bootstrap_blocs,4,5.473,"[5.428, 5.535]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,x25519_mlkem512,hybride,server,4,508.723,"[499.237, 517.091]",bootstrap_blocs,4,9.566,"[9.482, 9.650]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,P-384,classique,client,4,30.974,"[24.592, 37.355]",bootstrap_blocs,4,5.347,"[5.207, 5.486]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,P-384,classique,server,4,512.491,"[499.593, 523.000]",bootstrap_blocs,4,9.596,"[9.463, 9.672]",bootstrap_blocs
