run_id,duration_ms,success,compress_negotiated
340,13,1,0
341,14,1,0
342,14,1,0
343,14,1,0
344,15,1,0
345,13,1,0
346,13,1,0
347,13,1,0
348,15,1,0
349,22,1,0
350,14,1,0
351,15,1,0
352,17,1,0
353,15,1,0
354,14,1,0
355,17,1,0
356,14,1,0
357,16,1,0
358,14,1,0
359,14,1,0
360,15,1,0
361,14,1,0
362,14,1,0
363,15,1,0
364,14,1,0
365,13,1,0
366,13,1,0
367,13,1,0
368,13,1,0
369,13,1,0
370,14,1,0
371,13,1,0
372,13,1,0
373,13,1,0
374,15,1,0
375,14,1,0
376,13,1,0
377,14,1,0
378,13,1,0
379,16,1,0
380,15,1,0
381,13,1,0
382,14,1,0
383,15,1,0
384,14,1,0
385,14,1,0
386,14,1,0
387,13,1,0
388,14,1,0
389,14,1,0
390,15,1,0
391,14,1,0
392,15,1,0
393,13,1,0
394,16,1,0
395,13,1,0
396,15,1,0
397,16,1,0
398,14,1,0
399,14,1,0
400,16,1,0
401,17,1,0
402,17,1,0
403,14,1,0
404,16,1,0
405,15,1,0
406,14,1,0
407,14,1,0
408,14,1,0
409,13,1,0
410,13,1,0
411,14,1,0
412,14,1,0
413,15,1,0
414,20,1,0
415,17,1,0
416,16,1,0
417,16,1,0
418,17,1,0
419,14,1,0
420,14,1,0
421,18,1,0
422,19,1,0
423,16,1,0
424,14,1,0
425,14,1,0
426,13,1,0
427,13,1,0
428,13,1,0
429,13,1,0
430,13,1,0
431,14,1,0
432,13,1,0
433,13,1,0
434,14,1,0
435,13,1,0
436,13,1,0
437,13,1,0
438,13,1,0
439,13,1,0
440,12,1,0
441,13,1,0
442,16,1,0
443,14,1,0
444,15,1,0
445,16,1,0
446,15,1,0
447,13,1,0
448,15,1,0
449,13,1,0
450,14,1,0
451,15,1,0
452,16,1,0
453,14,1,0
454,13,1,0
455,14,1,0
456,13,1,0
457,13,1,0
458,14,1,0
459,13,1,0
460,13,1,0
461,14,1,0
462,13,1,0
463,15,1,0
464,13,1,0
465,13,1,0
466,14,1,0
467,15,1,0
468,13,1,0
469,13,1,0
470,14,1,0
471,13,1,0
472,13,1,0
473,15,1,0
474,14,1,0
475,13,1,0
476,15,1,0
477,14,1,0
478,14,1,0
479,14,1,0
480,13,1,0
481,13,1,0
482,15,1,0
483,14,1,0
484,13,1,0
485,12,1,0
486,14,1,0
487,13,1,0
488,13,1,0
489,14,1,0
490,15,1,0
491,14,1,0
492,13,1,0
493,14,1,0
494,14,1,0
495,14,1,0
496,16,1,0
497,14,1,0
498,14,1,0
499,13,1,0
500,14,1,0
