procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
23  1      0 10396284 300932 7280528    0    0     0   316 15114 28529 77 21  1  1  0  0
 1 16      0 10415152 300936 7280484    0    0     0  2120 16176 30035 73 24  1  1  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  2      0 10417088 300960 7284576    0    0     0  1484 14621 25976 65 20  6  9  0  0
20  0      0 10417400 300968 7284628    0    0     0   468 12911 20950 75 25  0  0  0  0
18  1      0 10392800 300972 7284744    0    0     0   472 17534 35364 74 26  0  0  0  0
20  3      0 10406956 300980 7284776    0    0     0  1964 12071 18628 75 25  0  0  0  0
19  1      0 10390532 300984 7285100    0    0     0  1488 13908 23491 75 25  0  0  0  0
29  0      0 10405368 300984 7284888    0    0     0   544 16001 28686 76 24  0  0  0  0
25  1      0 10386156 300988 7285244    0    0     0   380 16362 29125 73 27  0  0  0  0
18  3      0 10391076 300992 7281216    0    0     0  1796 15319 29164 74 26  0  0  0  0
21 21      0 10377548 300992 7281180    0    0     0   696 13697 23292 74 26  0  0  0  0
16  2      0 10379336 301008 7281208    0    0     0  1720 12088 18410 75 25  0  0  0  0
28  1      0 10365652 301016 7285336    0    0     0   500 16047 31212 73 27  0  0  0  0
22  3      0 10400960 301032 7285364    0    0     0  1760 12507 19985 74 25  0  1  0  0
26  1      0 10384280 301032 7281256    0    0     0   872 12168 20416 68 20  1 11  0  0
26  8      0 10394180 301040 7281276    0    0     0  1284 15931 29542 76 24  0  0  0  0
18  1      0 10406880 301040 7281296    0    0     0   284 13494 22633 75 25  0  0  0  0
17  2      0 10391636 301040 7281316    0    0     0  1032 14221 25494 75 25  0  0  0  0
30  2      0 10393048 301040 7285396    0    0     0  1920 13544 24360 64 22  2 12  0  0
19  1      0 10393000 301052 7285512    0    0     0   580 13084 21843 75 25  0  0  0  0
32  0      0 10388804 301060 7281452    0    0     0   440 14280 25109 74 26  0  0  0  0
19  3      0 10395088 301072 7281484    0    0     0  1772 11479 17620 69 23  1  7  0  0
23  1      0 10396804 301072 7281504    0    0     0   340 16176 29123 77 23  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  1      0 10420408 301080 7281524    0    0     0   896 14775 25218 75 24  0  0  0  0
22  2      0 10406392 301088 7285592    0    0     0  1696 15507 28980 74 26  0  0  0  0
22  3      0 10400420 301088 7285688    0    0     0   700 12636 20012 75 25  0  0  0  0
26  0      0 10375696 301096 7281624    0    0     0   676 13592 23263 76 24  0  0  0  0
25  3      0 10380440 301108 7281560    0    0     0  1744 14449 26319 74 26  0  0  0  0
40  0      0 10372088 301112 7281580    0    0     0  1184 13186 21250 75 25  0  0  0  0
14 19      0 10353032 301112 7281604    0    0     0  1000 12464 19851 75 25  0  0  0  0
22  1      0 10357436 301124 7285388    0    0     0   912 13202 22464 75 25  0  0  0  0
17  0      0 10366500 301128 7285800    0    0     0   460 14606 26473 75 25  0  0  0  0
14  9      0 10360188 301140 7285820    0    0     0  1904 13013 21853 74 25  0  1  0  0
26  1      0 10404020 301144 7281744    0    0     0   400 12750 21464 76 24  0  0  0  0
19  2      0 10436436 301148 7281724    0    0     0  1324 12822 20907 75 25  0  0  0  0
30  3      0 10435760 301152 7285892    0    0     0  1664 17068 33080 74 26  0  0  0  0
24  1      0 10395184 301164 7281840    0    0     0   548 15652 29143 74 25  0  1  0  0
24 19      0 10410448 301168 7281788    0    0     0   708 14959 26427 74 26  0  0  0  0
17 20      0 10423308 301168 7281800    0    0     0  1796 12746 21115 74 25  0  0  0  0
15  4      0 10421548 301176 7281740    0    0     0  1020 12501 20462 76 24  0  0  0  0
21  2      0 10421400 301196 7281820    0    0     0   760 12621 20377 76 24  0  0  0  0
14  1      0 10418676 301196 7281800    0    0     0  1512 13538 21899 75 25  0  0  0  0
16  1      0 10433300 301204 7285932    0    0     0   608 13981 24677 75 25  0  0  0  0
24  0      0 10396236 301208 7285964    0    0     0   492 15579 27810 74 26  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  3      0 10391996 301212 7281884    0    0     0  2328 13437 22435 75 25  0  0  0  0
14  2      0 10392952 301220 7281908    0    0     0   684 12713 20656 76 23  1  1  0  0
26  0      0 10397524 301232 7286012    0    0     0   928 14552 26572 75 25  0  0  0  0
15  1      0 10378308 301232 7286148    0    0     0   328 14243 23452 73 27  0  0  0  0
15  2      0 10386764 301244 7286176    0    0     0  2248 13280 22044 73 26  0  0  0  0
17  1      0 10393776 301248 7282068    0    0     0   304 12702 20843 75 25  0  0  0  0
13  9      0 10418792 301256 7282060    0    0     0  2028 12777 20498 74 25  0  0  0  0
30  1      0 10420232 301264 7286164    0    0     0   692 14553 26388 77 23  0  0  0  0
18  0      0 10389520 301272 7286308    0    0     0   336 16577 32004 75 24  0  0  0  0
22  1      0 10398796 301284 7286260    0    0     0  1620 14022 24729 73 26  0  0  0  0
17  5      0 10392996 301284 7286276    0    0     0   916 12942 21096 75 25  0  0  0  0
16  4      0 10411896 301284 7286296    0    0     0   736 12387 18686 75 24  0  0  0  0
13  3      0 10413084 301284 7286236    0    0     0   668 12825 20356 76 24  0  0  0  0
16  2      0 10429456 301292 7286244    0    0     0   340 13735 22882 75 25  0  0  0  0
