--- 2026-06-04_01:38:48 ---
--- 2026-06-04_01:38:50 ---
--- 2026-06-04_01:38:52 ---
--- 2026-06-04_01:38:54 ---
--- 2026-06-04_01:38:56 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc4    0.41%     2.922MiB / 23.32GiB   0.01%
cliente_hqc3    3.92%     2.906MiB / 23.32GiB   0.01%
cliente_hqc2    3.91%     2.98MiB / 23.32GiB    0.01%
cliente_hqc1    3.89%     2.918MiB / 23.32GiB   0.01%
servidor_hqc    50.56%    3.352MiB / 23.32GiB   0.01%
cliente_hqc28   3.81%     2.898MiB / 23.32GiB   0.01%
--- 2026-06-04_01:40:11 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc29   4.11%     2.91MiB / 23.32GiB    0.01%
cliente_hqc28   0.00%     2.898MiB / 23.32GiB   0.01%
cliente_hqc27   3.87%     2.91MiB / 23.32GiB    0.01%
cliente_hqc26   4.14%     3.078MiB / 23.32GiB   0.01%
cliente_hqc25   3.38%     2.902MiB / 23.32GiB   0.01%
cliente_hqc24   3.80%     3.273MiB / 23.32GiB   0.01%
cliente_hqc23   4.27%     3.164MiB / 23.32GiB   0.01%
cliente_hqc22   3.80%     2.902MiB / 23.32GiB   0.01%
cliente_hqc21   3.83%     2.91MiB / 23.32GiB    0.01%
cliente_hqc20   4.66%     2.914MiB / 23.32GiB   0.01%
cliente_hqc19   4.28%     2.902MiB / 23.32GiB   0.01%
cliente_hqc18   0.00%     2.906MiB / 23.32GiB   0.01%
cliente_hqc17   3.72%     2.906MiB / 23.32GiB   0.01%
cliente_hqc16   3.98%     2.906MiB / 23.32GiB   0.01%
cliente_hqc15   3.85%     2.914MiB / 23.32GiB   0.01%
cliente_hqc14   3.92%     3.402MiB / 23.32GiB   0.01%
cliente_hqc13   3.73%     3.266MiB / 23.32GiB   0.01%
cliente_hqc12   3.84%     2.906MiB / 23.32GiB   0.01%
cliente_hqc11   3.77%     2.91MiB / 23.32GiB    0.01%
cliente_hqc10   4.06%     2.906MiB / 23.32GiB   0.01%
cliente_hqc9    3.98%     2.914MiB / 23.32GiB   0.01%
cliente_hqc8    3.94%     3.109MiB / 23.32GiB   0.01%
cliente_hqc7    3.89%     3.305MiB / 23.32GiB   0.01%
cliente_hqc6    2.94%     1.566MiB / 23.32GiB   0.01%
cliente_hqc5    4.16%     2.91MiB / 23.32GiB    0.01%
cliente_hqc4    3.90%     2.918MiB / 23.32GiB   0.01%
cliente_hqc3    4.08%     2.906MiB / 23.32GiB   0.01%
cliente_hqc2    3.93%     2.914MiB / 23.32GiB   0.01%
cliente_hqc1    3.79%     3.531MiB / 23.32GiB   0.01%
servidor_hqc    50.68%    4.078MiB / 23.32GiB   0.02%
cliente_hqc30   3.93%     2.91MiB / 23.32GiB    0.01%
--- 2026-06-04_01:40:17 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc31   4.08%     2.91MiB / 23.32GiB    0.01%
cliente_hqc30   3.75%     2.914MiB / 23.32GiB   0.01%
cliente_hqc29   5.08%     4.039MiB / 23.32GiB   0.02%
cliente_hqc28   4.09%     2.984MiB / 23.32GiB   0.01%
cliente_hqc27   3.99%     2.914MiB / 23.32GiB   0.01%
cliente_hqc26   4.01%     2.891MiB / 23.32GiB   0.01%
cliente_hqc25   4.04%     3.066MiB / 23.32GiB   0.01%
cliente_hqc24   3.84%     2.914MiB / 23.32GiB   0.01%
cliente_hqc23   4.54%     2.906MiB / 23.32GiB   0.01%
cliente_hqc22   4.30%     2.906MiB / 23.32GiB   0.01%
cliente_hqc21   3.81%     2.91MiB / 23.32GiB    0.01%
cliente_hqc20   4.01%     2.906MiB / 23.32GiB   0.01%
cliente_hqc19   4.14%     2.98MiB / 23.32GiB    0.01%
cliente_hqc18   5.21%     2.906MiB / 23.32GiB   0.01%
cliente_hqc17   0.74%     3.402MiB / 23.32GiB   0.01%
cliente_hqc16   3.87%     2.902MiB / 23.32GiB   0.01%
cliente_hqc15   3.75%     2.906MiB / 23.32GiB   0.01%
cliente_hqc14   3.81%     2.898MiB / 23.32GiB   0.01%
cliente_hqc13   3.92%     2.906MiB / 23.32GiB   0.01%
cliente_hqc12   0.00%     2.91MiB / 23.32GiB    0.01%
cliente_hqc11   4.25%     3.285MiB / 23.32GiB   0.01%
cliente_hqc10   0.00%     2.906MiB / 23.32GiB   0.01%
cliente_hqc9    3.86%     2.91MiB / 23.32GiB    0.01%
cliente_hqc8    4.04%     2.918MiB / 23.32GiB   0.01%
cliente_hqc7    3.90%     2.91MiB / 23.32GiB    0.01%
cliente_hqc6    3.81%     2.922MiB / 23.32GiB   0.01%
cliente_hqc5    0.00%     2.91MiB / 23.32GiB    0.01%
cliente_hqc4    3.79%     2.922MiB / 23.32GiB   0.01%
cliente_hqc3    3.81%     2.898MiB / 23.32GiB   0.01%
cliente_hqc2    0.00%     2.91MiB / 23.32GiB    0.01%
cliente_hqc1    3.82%     2.918MiB / 23.32GiB   0.01%
servidor_hqc    49.34%    3.594MiB / 23.32GiB   0.02%
cliente_hqc32   3.80%     3.34MiB / 23.32GiB    0.01%
--- 2026-06-04_01:40:22 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc33   3.86%     3.371MiB / 23.32GiB   0.01%
cliente_hqc32   3.83%     2.906MiB / 23.32GiB   0.01%
cliente_hqc31   4.67%     2.918MiB / 23.32GiB   0.01%
cliente_hqc30   3.84%     2.906MiB / 23.32GiB   0.01%
cliente_hqc29   4.47%     3.516MiB / 23.32GiB   0.01%
cliente_hqc28   3.87%     3.148MiB / 23.32GiB   0.01%
cliente_hqc27   3.81%     2.922MiB / 23.32GiB   0.01%
cliente_hqc26   3.79%     2.902MiB / 23.32GiB   0.01%
cliente_hqc25   3.88%     2.906MiB / 23.32GiB   0.01%
cliente_hqc24   3.83%     2.914MiB / 23.32GiB   0.01%
cliente_hqc23   3.77%     2.914MiB / 23.32GiB   0.01%
cliente_hqc22   3.94%     2.914MiB / 23.32GiB   0.01%
cliente_hqc21   1.30%     2.926MiB / 23.32GiB   0.01%
cliente_hqc20   0.00%     2.91MiB / 23.32GiB    0.01%
cliente_hqc19   3.84%     3.645MiB / 23.32GiB   0.02%
cliente_hqc18   4.79%     3.152MiB / 23.32GiB   0.01%
cliente_hqc17   0.94%     3.402MiB / 23.32GiB   0.01%
cliente_hqc16   3.86%     2.922MiB / 23.32GiB   0.01%
cliente_hqc15   4.62%     2.922MiB / 23.32GiB   0.01%
cliente_hqc14   4.08%     2.902MiB / 23.32GiB   0.01%
cliente_hqc13   4.03%     2.914MiB / 23.32GiB   0.01%
cliente_hqc12   0.00%     2.906MiB / 23.32GiB   0.01%
cliente_hqc11   3.97%     3.062MiB / 23.32GiB   0.01%
cliente_hqc10   0.00%     2.906MiB / 23.32GiB   0.01%
cliente_hqc9    2.03%     1.816MiB / 23.32GiB   0.01%
