P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
7.7,1.91,25.41,4572.61,18.85
6.79,3105.38,654.62,1918.53,2065.6
5.54,420.98,19.3,12196.62,2700.14
6.4,4.59,17.73,220.01,21.91
6.35,2.25,2120.02,1086.82,7909.18
7.1,2.22,1697.53,1266.83,2737.25
5.54,1057.73,432.21,261.72,1523.38
3.66,3099.91,6441.33,439.66,22.67
3.78,1260.59,26.83,1915.15,427.64
5.82,827.15,220.43,8092.43,24.63
3.68,1069.77,29.4,33.15,423.24
4.39,3738.62,219.5,7685.06,1282.32
3.57,2.75,29.57,465.69,1116.43
4.1,1.85,23.23,25.26,3778.73
3.65,1.91,1492.13,1303.94,19.53
4.07,3316.72,25.44,13322.55,1268.36
3.65,1466.74,16.98,1080.3,434.75
3.86,2.93,17.61,1890.23,1658.96
3.72,420.68,17.11,1506.28,3354.9
4.48,3.12,1697.44,35.78,30.0
4.43,1047.87,27.73,35.13,8850.47
3.64,211.87,1073.74,262.68,2132.74
4.17,1271.8,1273.89,665.92,224.11
3.15,2267.89,34.16,14347.98,1088.08
2.88,1038.78,1941.93,7078.92,18.59
2.83,4.53,2120.64,1316.99,217.96
2.86,2696.95,7629.45,5711.26,3328.19
2.81,1055.47,26.62,1482.59,27.96
3.44,209.34,4343.79,33.47,243.16
2.95,2032.87,7704.7,869.75,23.22
4.32,206.55,34.49,1502.31,22.7
6.19,4.42,1504.16,2749.79,1071.6
5.23,1.93,27.66,1271.62,1442.3
6.0,4366.65,26.71,27.94,1451.67
4.34,2083.97,1720.51,1701.99,28.75
4.43,2.45,1272.11,30.71,13247.09
4.48,210.16,26.68,841.69,24.77
4.6,1059.21,8262.62,28.65,655.06
5.67,1053.29,254.79,2749.65,23.86
5.38,2075.74,28.5,254.56,17.71
6.02,1051.14,3370.58,1886.04,52991.54
4.59,2.29,22.27,1522.77,33.79
4.37,11224.13,7032.0,264.12,1317.35
4.59,4.12,428.09,1903.0,226.84
4.41,207.93,24.35,13838.91,643.39
5.2,2069.72,220.27,1306.18,1670.6
6.24,825.77,4633.79,262.95,41.09
5.78,3.94,19.25,24.74,5793.65
5.57,1007.62,450.55,1280.57,25.14
4.79,3353.08,2140.87,254.17,17.18
4.29,2.76,33.94,2128.03,20.81
4.36,1.95,453.61,260.28,17.38
5.07,1029.23,666.2,466.36,13033.73
4.72,1472.42,18.32,35.24,1112.03
5.0,1434.66,834.01,426.53,2724.93
5.57,3320.93,2315.69,1308.9,2991.35
5.48,209.63,2262.36,30.12,4744.82
4.76,3.15,1861.76,3552.3,33.09
4.99,1470.2,29.19,2531.5,20.16
5.99,215.14,221.7,24.92,2743.55
