P-521,p521_mlkem1024,mlkem1024
,2088.86,144.0
,3523.01,2.45
,41.99,7060.32
,2008.33,1.96
,4032.0,2.02
,42.3,29.48
,70.18,7258.6
,42.58,2245.11
,10.79,61.26
,69.78,2.35
,4194.73,34.16
,8112.32,2.32
,13.03,8923.51
,2006.91,2000.01
,11.15,2027.59
,16.28,29.89
,10.98,2.03
,10.9,2.49
,10499.76,
