P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.08,2.38,48.95,1002.74,29.32
2.13,1129.36,19.72,3.23,30.55
2.08,2027.21,10.14,3.24,1030.61
2.34,1103.33,13.78,3.23,1001.27
2.42,2.23,1019.02,3.19,1.66
2.3,1.95,4037.41,3.19,1.77
1.96,1.83,10.28,3.22,1.78
2.0,1.8,2131.16,3.28,1.75
2.08,29.81,15.51,3.28,3.64
2.13,2.33,2034.06,2003.12,1.94
1.97,1.93,15.77,2055.76,1.6
2.29,1.7,5007.05,4.47,1.89
2.3,1.73,2151.81,5.53,1.76
2.06,2.15,9.9,33.1,1.85
2.35,1001.42,10.22,1006.0,1.59
2.32,1.76,10.38,31.38,1.83
2.39,1001.23,10.99,3.23,1001.01
2.37,2.25,12.23,30.73,1.97
1.94,2.17,40.88,4.37,1.78
2.02,2.42,2011.91,4.26,1.86
3.89,2.07,15.07,3.19,2081.67
2.11,2.22,14.62,3.24,1.78
2.35,1.79,10.81,2055.05,1.77
2.12,1.78,14.38,3.35,1.69
2.4,1.87,15.44,3.26,1.87
2.04,2.4,10.19,3.18,1.71
2.41,1001.34,71.44,1004.24,1.76
2.4,7073.53,55.13,1004.18,2.01
2.08,1.81,43.24,86.56,2.0
3.06,1.78,51.67,1032.09,1.9
2.33,1101.39,14.56,63.24,1.8
2.44,3101.08,15.95,35.1,1.81
2.49,30.0,12.67,4.28,1.8
2.34,2.31,17.39,4.21,1.77
2.0,1.72,17.65,3.31,1.65
2.1,2.26,13.98,30.73,4000.38
2.07,2109.84,26.09,3.32,1.87
1.99,1.84,15.75,86.09,1004.12
2.52,2.14,10.81,31.93,1.74
2.08,2.43,9.77,3.57,1.6
2.81,1158.35,14.53,3747.24,1.79
2.12,2.3,2014.04,3.23,1.94
2.03,2.31,17.59,4.25,31.42
2.01,2.63,14.35,3.18,1.7
2.11,2.2,11.05,1005.39,1.64
1.97,1103.46,16.3,3.87,1.8
1.97,34.48,1015.7,3.26,1.79
2.07,2000.54,9.94,1004.08,848.57
1001.22,251.83,10.73,3.27,1036.69
1102.63,2.19,14.61,3.22,29.17
1.84,2.38,11.64,3.5,1.81
3.98,2.33,10.42,3.23,2.15
2.83,30.46,12.19,3.46,2024.95
1103.03,2.26,11.21,1002.49,29.14
2.05,30.37,16.14,3.54,1.61
2.1,2.47,16.33,4.46,1.81
2000.26,1102.62,14.61,2027.26,1.64
2.41,2.96,11.9,3.39,1002.68
2.18,2.85,47.93,1011.15,1.76
3103.33,30.33,2009.53,31.9,1.66
34.19,2.87,9.97,4.66,1.64
2.33,1101.63,13.9,4.91,2.11
2.66,2.59,8.74,3.2,2024.68
2.62,2.86,9.0,1004.97,1.9
1.99,2.88,3008.25,3.39,1.73
2.09,29.93,12.23,3.26,1.67
2.79,1001.34,45.26,3.37,1.79
2.31,2.78,11.2,3.33,1.61
2.15,114.19,10.24,3.22,1.76
1102.86,2.4,1010.99,3.13,1.77
2.02,2.46,46.52,4.83,1.96
2.29,2.43,12.45,3.19,1.76
1.96,2.46,9.6,3.9,1.6
112.53,2.79,1016.47,3.26,29.03
2.71,2.29,9.42,3.11,1.61
2.25,1102.96,9.48,4.49,1.98
2.04,3.59,75.79,30.8,1.64
2.07,2.53,9.07,4.12,1.79
2.08,2.38,38.29,3.94,1.7
2.27,3.05,10.25,5.01,1.62
2.07,2.24,14.49,4.26,1.9
2075.17,2075.5,10.31,3.42,1.65
2.88,2.02,39.18,3.44,29.11
2.43,1.95,39.3,3.35,1.63
2.34,2091.6,8.63,3.98,1.66
30.33,29.77,2062.19,3059.14,1.76
2.55,1104.91,1014.64,3.77,1.82
2.37,3.01,9.74,34.99,1.76
2.08,2.61,41.42,3.25,1.79
2.44,2.57,13.28,4.21,1004.01
2.39,2.58,9.81,4.12,1.78
30.0,4.36,8.52,4.25,1.73
57.41,85.88,13.08,3.54,2001.09
2.56,30.62,8.55,3.55,1.99
2.22,3.06,8.62,3.34,1.74
1102.58,3.01,11.47,4.3,29.54
1265.76,2.92,13.57,1005.86,2.07
1029.01,3.02,9.54,3.4,29.23
1.96,3.51,14.13,4.28,1.73
2.09,2.76,1011.32,3.49,1.61
3074.57,2.72,2033.09,3.68,1.83
29.72,2.6,1010.16,4.15,1.85
1103.11,2.89,8.52,4.42,1.82
2.23,1102.72,8.6,4.11,2001.74
2.69,29.62,8.63,30.73,1.83
2.89,1.91,39.06,1004.88,1.77
30.29,1103.39,44.02,4.27,2.07
2.31,1102.58,8.68,4.83,1.84
2.05,2.87,13.26,3.35,29.44
1101.71,2.75,8.88,4.97,2026.06
2.46,32.96,8.76,3.53,2.2
1.93,1102.82,8.85,4.05,2.61
2.1,2.04,8.84,1031.29,2.1
2.38,57.77,1010.18,2027.8,1.91
1003.3,3.16,2059.97,5033.97,2.25
1492.45,2.46,8.59,4.01,1.69
3.06,2.45,8.89,2392.19,2.0
29.85,2.33,8.59,4.16,1.94
2.56,2.47,8.6,1006.55,2026.21
2.6,2.44,8.6,32.96,31.51
2.66,2.51,8.58,3.64,2.19
30.28,2.58,2035.62,30.62,29.32
2.17,2.25,1009.81,3.15,2.33
