P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.1,4.1,1089.41,7.05,3.37
5.08,3.83,13.43,5.88,3.27
5.07,5.78,1039.68,5.88,3.3
5.05,3.81,19.13,6.68,1003.16
5.04,3.76,15.07,8.15,2.98
6.77,3.72,13.3,6.45,3.07
5.02,3.71,1013.27,6.12,3.38
7.15,3.77,13.02,5.81,3.12
1004.68,5.31,1037.5,5.84,3.02
5.15,1004.87,11.97,6.99,4.31
5.0,3.81,1013.8,1008.3,3.24
5.0,1003.89,3012.18,5.54,3.08
5.02,3.99,11.89,1034.62,3.63
5.68,3.98,1025.45,1021.81,3.0
5.1,1003.89,12.01,5.94,3.62
5.05,1003.98,12.05,5.76,3.19
5.12,1004.14,11.96,5.96,3.46
5.09,3.89,18.3,6.24,1002.22
5.06,3002.8,11.9,6.01,3.01
5.01,5.3,1013.15,5.89,4.63
4.98,1004.49,12.41,6.07,2.97
1007.34,3003.06,18.19,6.3,3.37
5.08,5.28,1022.4,5.84,4.26
5.08,3.73,11.99,1008.41,3.35
5.04,7001.52,11.88,3003.1,2.96
3003.71,3.84,14.12,5.78,3.31
5.09,4.64,11.93,5.75,2.98
5.14,4.88,11.9,5.99,1002.8
5.07,4.48,1013.09,6.89,3001.71
5.27,3.81,1013.83,6.02,4.32
5.16,5.34,17.84,8.1,3.19
5.08,3.97,1039.05,1010.43,2.99
7.14,3.69,11.98,1017.65,4.21
5.01,3.74,13.5,6.04,2.98
6.52,4.24,12.72,5.52,3.15
1007.84,3.81,1019.94,5.66,3.46
5.13,4.11,1013.23,5.58,3.24
5.74,3.74,14.13,5.64,4.26
5.19,3.71,11.85,5.73,1004.47
5.13,4.17,11.92,5.52,3.35
5.09,5.27,1014.63,5.75,3.23
5.32,4.03,1012.07,5.63,3.32
1005.46,5.32,11.89,5.61,3.16
5.21,3.69,14.05,5.61,3.03
5.17,1004.61,1036.76,5.64,1002.66
7.07,4.46,18.2,1016.84,3.05
5.06,3.72,18.25,1010.53,4.39
3004.14,3.76,11.94,8.46,1002.84
5.24,3.76,12.03,5.52,2.98
5.41,4.29,14.07,5.64,2.95
5.49,3.86,12.13,5.62,2.97
1004.97,3002.27,1026.32,8.04,2.92
5.32,3.79,18.21,1031.97,2.95
5.12,5.7,11.9,5.5,2.99
5.35,3.72,1013.7,1031.92,2.97
5.19,3.88,12.46,5.52,2.9
5.44,5.33,1013.74,5.55,2.96
5.33,1002.89,11.9,8.03,2.9
5.4,1004.03,11.93,8.04,2.92
5.19,3.75,1013.0,3003.54,2.98
5.34,1002.94,11.9,5.48,2.9
1004.67,4.57,3010.7,5.58,3.05
