P-521,p521_mlkem1024,mlkem1024
5.04,12.0,1030.35
4.99,3012.8,3.11
5.06,1096.28,1106.09
1004.78,1018.29,3.13
5.14,11.99,3.28
7000.9,1200.23,3.77
4.92,1014.59,3.24
4.9,17.48,3.21
5.19,3039.88,1042.35
4.92,14.09,3112.56
5.01,18.21,3.17
1006.6,14.05,3.13
5.0,1013.23,3004.65
1005.07,1201.3,1084.17
3003.53,1012.82,3.61
2056.47,12.01,3.66
1005.11,3010.57,4.47
7.14,18.34,1016.07
4.92,1092.0,3003.32
5.11,14.18,4.41
4.91,15.03,3.7
5.43,14.15,3.61
7001.31,14.19,3.73
4.96,1483.81,3.61
5.13,1036.63,4.58
4.93,1090.95,3.59
5.5,18.93,3.6
4.92,11.97,3.62
7.07,18.3,3.62
4.98,1041.11,1030.31
4.95,11.78,3.21
5.01,18.17,3001.09
5.01,11.84,1193.07
5.03,1035.4,3.98
1004.92,1109.5,3002.31
5.08,11.99,3.19
5.03,11.89,1030.27
4.97,18.15,3.23
4.98,3018.22,1007.18
1006.71,3013.33,1031.38
1006.74,1036.8,4.43
5.12,3010.21,3.58
3005.27,18.2,3.27
5.0,3239.26,1026.8
1004.64,12.13,3000.91
4.88,18.31,3.27
,12.07,1408.68
,12.01,1030.65
,18.26,4.44
,13.77,6.03
,12.15,1030.51
,11.89,3029.98
,11.82,3.14
,3012.18,3.56
,12.02,3.21
,11.74,3.2
,11.81,3.27
,11.83,3.17
,12.68,3.19
,1036.86,3.18
,12.45,1038.2
,12.09,1030.23
,11.99,3.14
,12.15,
