timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes,block_index,n_blocks,seed
2026-08-23T06:50:20+01:00,tls,single,mldsa65,x448,simple,client,125,3256285,26050.280,5775360,2,4,3001
2026-08-23T06:51:36+01:00,tls,single,mldsa44,p256_mlkem512,simple,server,125,794894,6359.152,6766592,2,4,3001
2026-08-23T06:51:36+01:00,tls,single,mldsa44,p256_mlkem512,simple,client,125,4531336,36250.688,5365760,2,4,3001
2026-08-23T06:52:48+01:00,tls,single,mldsa44,P-256,simple,server,125,397408,3179.264,6443008,2,4,3001
2026-08-23T06:52:48+01:00,tls,single,mldsa44,P-256,simple,client,125,3166722,25333.776,5554176,2,4,3001
2026-08-23T06:54:05+01:00,tls,single,ed25519,hqc128,simple,server,125,2482408,19859.264,6467584,2,4,3001
2026-08-23T06:54:05+01:00,tls,single,ed25519,hqc128,simple,client,125,5554092,44432.736,5873664,2,4,3001
2026-08-23T06:55:17+01:00,tls,single,ed25519,p256_mlkem512,simple,server,125,758926,6071.408,6750208,2,4,3001
2026-08-23T06:55:17+01:00,tls,single,ed25519,p256_mlkem512,simple,client,125,4272489,34179.912,5697536,2,4,3001
2026-08-23T06:56:38+01:00,tls,single,ed25519,p256_hqc128,simple,server,125,2910673,23285.384,6770688,2,4,3001
2026-08-23T06:56:38+01:00,tls,single,ed25519,p256_hqc128,simple,client,125,5965456,47723.648,5517312,2,4,3001
2026-08-23T06:58:12+01:00,tls,single,mldsa87,mlkem1024,simple,server,125,480830,3846.640,6574080,2,4,3001
2026-08-23T06:58:12+01:00,tls,single,mldsa87,mlkem1024,simple,client,125,2984872,23878.976,5865472,2,4,3001
2026-08-23T06:59:28+01:00,tls,single,mldsa65,x448_mlkem768,simple,server,125,705405,5643.240,6541312,2,4,3001
2026-08-23T06:59:28+01:00,tls,single,mldsa65,x448_mlkem768,simple,client,125,3530036,28240.288,6230016,2,4,3001
2026-08-23T07:00:42+01:00,tls,single,ed25519,x25519_mlkem512,simple,server,125,400338,3202.704,6410240,2,4,3001
2026-08-23T07:00:42+01:00,tls,single,ed25519,x25519_mlkem512,simple,client,125,3167758,25342.064,5472256,2,4,3001
2026-08-23T07:02:29+01:00,tls,single,secp521r1,hqc256,simple,server,125,6984564,55876.512,6635520,2,4,3001
2026-08-23T07:02:29+01:00,tls,single,secp521r1,hqc256,simple,client,125,9788778,78310.224,5517312,2,4,3001
2026-08-23T07:04:09+01:00,tls,single,mldsa65,p384_hqc192,simple,server,125,5213880,41711.040,6905856,2,4,3001
2026-08-23T07:04:09+01:00,tls,single,mldsa65,p384_hqc192,simple,client,125,10389531,83116.248,5644288,2,4,3001
2026-08-23T07:05:56+01:00,tls,single,secp521r1,p521_hqc256,simple,server,125,7312454,58499.632,6909952,2,4,3001
