procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  2      0 15413684 255736 5677112    0    0     0  1416 11762 13016 90 10  0  0  0  0
20  2      0 15416268 255736 5686320    0    0     0   660 13200 17862 88 12  0  0  0  0
13  3      0 15397032 255748 5677400    0    0     0  2460 12976 19645 83 11  1  5  0  0
12  3      0 15381196 255776 5677420    0    0     0   868 12385 15524 89 11  0  0  0  0
17  0      0 15378832 255796 5677444    0    0     0  1376 11988 14175 90 10  0  0  0  0
14  2      0 15380528 255824 5677548    0    0     0   932 14005 19272 88 12  0  0  0  0
14  1      0 15390084 255824 5677560    0    0     0  1560 11180 11352 90 10  0  0  0  0
14  1      0 15389100 255848 5677596    0    0     0  1564 12789 17595 89 11  0  0  0  0
20  0      0 15373180 255872 5677724    0    0     0   544 13436 18401 88 12  0  0  0  0
15  2      0 15368360 255888 5677724    0    0     0  1896 13107 16841 90 10  0  0  0  0
12  1      0 15368388 255896 5677760    0    0     0  1580 11435 12209 89 11  0  0  0  0
27  1      0 15383852 255916 5677884    0    0     0   608 13088 16601 88 12  0  0  0  0
12  2      0 15387480 255928 5677920    0    0     0  1788 13381 19582 90 10  0  0  0  0
16  1      0 15373536 255940 5677932    0    0     0  1628 12202 15135 90 10  0  0  0  0
21  1      0 15364648 255960 5678060    0    0     0   672 13100 16750 89 11  0  0  0  0
15  5      0 15372760 255972 5678120    0    0     0  2232 13608 18013 89 11  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  1      0 15366676 255976 5678140    0    0     0   372 10862 11713 91  9  0  0  0  0
16  1      0 15360860 256008 5678144    0    0     0  1612 13872 19989 89 11  0  0  0  0
16  1      0 15348568 256012 5678280    0    0     0   368 13417 18389 89 11  0  0  0  0
17  7      0 15337988 256028 5678312    0    0     0  1864 13355 18485 89 11  0  0  0  0
13  1      0 15356732 256032 5678336    0    0     0  1380 11365 12300 90 10  0  0  0  0
23  1      0 15351480 256044 5678464    0    0     0   532 12181 14675 90 10  0  0  0  0
20  8      0 15337404 256056 5678484    0    0     0  2400 15022 22712 88 12  0  0  0  0
17  1      0 15339420 256064 5678508    0    0     0    80 11240 12215 91  9  0  0  0  0
12  3      0 15347396 256068 5678532    0    0     0  1368 12355 15975 89 11  0  0  0  0
29  1      0 15332232 256076 5678648    0    0     0   552 14068 19216 88 12  0  0  0  0
16  1      0 15315928 256084 5678708    0    0     0   612 11947 14588 90  9  0  0  0  0
14  2      0 15317860 256092 5678592    0    0     0  1720 13699 20079 88 12  0  0  0  0
19  2      0 15328252 256092 5678636    0    0     0   368 11937 13464 91  9  0  0  0  0
27  2      0 15350408 256092 5678664    0    0     0   524 11772 13717 88 12  0  0  0  0
12  2      0 15344024 256096 5678688    0    0     0  2120 10605 10155 89 10  0  0  0  0
26  0      0 15350588 256112 5678708    0    0     0   948 12274 15483 89 11  0  0  0  0
11  3      0 15357716 256120 5678768    0    0     0  2328 13662 19610 88 12  0  0  0  0
28  1      0 15364424 256128 5678772    0    0     0   632 11092 12013 90 10  0  0  0  0
20 11      0 15386160 256144 5678816    0    0     0  1432 11888 14168 90 10  0  0  0  0
14  1      0 15381484 256144 5678824    0    0     0   344 11600 13129 91  9  0  0  0  0
23  2      0 15380236 256156 5678792    0    0     0  1324 13909 19713 89 11  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
