P-521,p521_mlkem1024,mlkem1024
6.66,1012.04,1404.14
1005.88,18.42,3.3
5.01,11.86,3.13
5.22,1169.1,3.2
1005.52,1011.71,1029.98
1004.65,1036.74,3.4
5.05,11.93,1008.64
5.96,14.44,4.5
3003.68,1073.33,1016.97
,1092.81,1030.09
5.04,11.85,3.19
4.99,12.03,4.3
3003.66,13.02,3.13
