P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
72.25,71.92,94.04,97.41,87.35
72.29,72.53,86.26,93.1,87.29
72.29,72.09,86.21,92.68,89.97
72.12,71.89,86.56,92.95,95.7
72.69,72.48,86.59,92.69,87.46
73.02,72.03,86.18,103.44,87.48
72.54,71.94,86.05,92.76,87.72
72.86,72.08,91.33,93.67,87.4
73.09,71.82,86.33,93.11,92.16
72.41,72.61,92.62,92.94,96.6
72.24,72.7,87.54,92.89,87.8
72.35,71.96,92.86,103.95,87.23
72.18,72.02,86.15,93.44,87.35
72.49,72.79,86.04,93.16,87.47
72.23,72.14,87.57,92.95,99.06
72.03,72.05,86.14,94.62,88.22
72.12,72.07,86.02,92.8,87.65
72.25,72.1,97.27,92.81,87.18
72.53,71.96,97.11,92.71,87.44
72.86,71.94,86.02,92.65,87.51
72.21,71.95,86.46,92.75,88.13
72.71,1071.07,86.11,92.98,87.9
72.17,72.01,86.08,92.68,87.24
72.89,71.97,86.04,92.66,87.41
72.35,72.14,86.61,92.75,87.54
72.75,72.2,86.41,92.65,87.49
72.2,71.91,86.24,92.75,87.43
72.13,71.92,86.12,92.75,87.67
72.78,71.82,87.58,92.8,94.28
72.71,71.85,87.01,92.8,94.66
72.07,72.0,85.99,92.79,87.29
72.06,72.03,86.6,103.5,87.21
72.09,72.66,97.49,92.86,94.66
73.78,72.05,86.11,92.76,94.55
72.34,72.13,86.08,92.64,87.35
72.83,71.91,86.61,92.63,87.37
72.7,72.5,86.06,92.53,94.54
72.31,72.03,86.18,92.55,87.4
72.22,71.87,86.24,92.73,87.31
72.22,72.38,87.63,94.76,87.29
72.77,71.87,86.46,93.38,87.41
72.23,72.05,86.24,92.71,88.38
72.29,1073.1,88.1,92.74,87.42
72.36,72.44,87.8,93.03,87.27
72.32,72.52,86.4,92.74,87.35
72.25,72.28,97.17,93.7,87.64
72.64,72.08,87.77,93.71,87.46
72.66,71.91,86.38,104.05,87.31
73.0,71.97,86.88,92.7,87.51
72.75,71.99,86.21,92.66,87.54
72.32,71.89,87.74,93.48,90.06
72.2,71.88,93.04,94.0,87.15
72.2,71.94,86.55,92.67,87.49
72.22,71.95,92.69,92.76,87.35
