Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

02:23:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:25:38     all   19,55    0,13    4,89   29,07    0,00    0,13    0,00    0,00    0,00   46,24
02:25:39     all   18,49    0,00    3,90   10,69    0,00    0,25    0,00    0,00    0,00   66,67
02:25:40     all   20,93    0,00    5,30    9,96    0,00    0,00    0,00    0,00    0,00   63,81
02:25:41     all   24,02    0,00    5,82   25,54    0,00    0,00    0,00    0,00    0,00   44,63
02:25:42     all   20,18    0,00    4,67   12,74    0,00    0,00    0,00    0,00    0,00   62,42
02:25:43     all   22,38    0,00    6,19    9,73    0,00    0,13    0,00    0,00    0,00   61,57
02:25:44     all   19,32    0,00    4,64    9,54    0,00    0,00    0,00    0,00    0,00   66,50
02:25:45     all   20,48    0,13    5,53    9,05    0,00    0,00    0,00    0,00    0,00   64,82
02:25:46     all   19,12    0,25    4,28   15,72    0,00    0,13    0,00    0,00    0,00   60,50
02:25:47     all   24,05    0,13    5,06   10,25    0,00    0,13    0,00    0,00    0,00   60,38
02:25:48     all   22,07    0,13    6,31   11,10    0,00    0,13    0,00    0,00    0,00   60,28
02:25:49     all   20,13    0,13    4,78   12,45    0,00    0,00    0,00    0,00    0,00   62,52
02:25:50     all   20,89    0,00    5,06    9,49    0,00    0,00    0,00    0,00    0,00   64,56
02:25:51     all   19,12    0,00    4,53   29,69    0,00    0,00    0,00    0,00    0,00   46,67
02:25:52     all   24,75    0,00    5,33   16,24    0,00    0,00    0,00    0,00    0,00   53,68
02:25:53     all   19,29    0,00    4,04   12,86    0,00    0,00    0,00    0,00    0,00   63,81
02:25:54     all   21,01    0,00    5,82    8,23    0,00    0,13    0,00    0,00    0,00   64,81
02:25:55     all   19,07    0,13    4,27   16,31    0,00    0,13    0,00    0,00    0,00   60,10
02:25:56     all   23,11    0,00    4,67   13,76    0,00    0,00    0,00    0,00    0,00   58,46
02:25:57     all   21,23    0,00    5,78    8,29    0,00    0,00    0,00    0,00    0,00   64,70
02:25:58     all   21,19    0,00    4,95   15,48    0,00    0,00    0,00    0,00    0,00   58,38
02:25:59     all   17,59    0,00    3,02   12,81    0,00    0,00    0,00    0,00    0,00   66,58
02:26:00     all   19,82    0,25    4,52    9,03    0,00    0,13    0,00    0,00    0,00   66,25
02:26:01     all   27,00    0,00    6,84    8,49    0,00    0,13    0,00    0,00    0,00   57,54
02:26:02     all   17,92    0,00    3,13   20,68    0,00    0,00    0,00    0,00    0,00   58,27
02:26:03     all   21,89    0,00    6,29   10,31    0,00    0,00    0,00    0,00    0,00   61,51
02:26:04     all   23,08    0,25    7,31    9,08    0,00    0,00    0,00    0,00    0,00   60,28
02:26:05     all   18,26    0,00    3,53   19,52    0,00    0,13    0,00    0,00    0,00   58,56
02:26:06     all   26,48    0,25    6,81    8,95    0,00    0,13    0,00    0,00    0,00   57,38
02:26:07     all   21,16    0,13    4,79   17,25    0,00    0,13    0,00    0,00    0,00   56,55
02:26:08     all   20,35    0,13    4,90   14,95    0,00    0,00    0,00    0,00    0,00   59,67
02:26:09     all   21,04    0,00    5,45    8,11    0,00    0,00    0,00    0,00    0,00   65,40
02:26:10     all   24,40    0,00    5,18   17,83    0,00    0,00    0,00    0,00    0,00   52,59
02:26:11     all   21,13    0,00    5,66   12,33    0,00    0,13    0,00    0,00    0,00   60,75
02:26:12     all   22,46    0,00    6,85   21,95    0,00    0,00    0,00    0,00    0,00   48,73
02:26:13     all   18,99    0,13    4,15   15,60    0,00    0,00    0,00    0,00    0,00   61,13
02:26:14     all   21,71    0,13    6,52    9,28    0,00    0,13    0,00    0,00    0,00   62,23
02:26:15     all   23,48    0,13    4,19   27,79    0,00    0,13    0,00    0,00    0,00   44,29
02:26:16     all   23,09    0,00    7,28    9,79    0,00    0,13    0,00    0,00    0,00   59,72
02:26:17     all   20,81    0,00    5,08   14,47    0,00    0,00    0,00    0,00    0,00   59,64
02:26:18     all   19,22    0,00    5,03   10,80    0,00    0,00    0,00    0,00    0,00   64,95
02:26:19     all   22,46    0,13    6,27   11,42    0,00    0,13    0,00    0,00    0,00   59,60
02:26:20     all   17,80    0,00    3,91   23,86    0,00    0,00    0,00    0,00    0,00   54,42
02:26:21     all   27,49    0,00    6,94    8,07    0,00    0,00    0,00    0,00    0,00   57,50
02:26:22     all   20,84    0,13    5,21   30,24    0,00    0,00    0,00    0,00    0,00   43,58
02:26:23     all   20,48    0,13    4,90   16,96    0,00    0,13    0,00    0,00    0,00   57,41
