procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 13138468 236040 5976404    0    0     0   948 11077 22786 17  7 62 14  0  0
 0  1      0 13125864 236048 5976724    0    0     0   556 9538 17807 11  8 72  8  0  0
 3  6      0 13120108 236084 5976824    0    0     0  2000 9843 19376 10  8 61 20  0  0
 3  1      0 13136512 236104 5976880    0    0     0   992 6465 5893  9  8 67 16  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 13126440 236128 5977180    0    0     0   612 8849 14829 14  8 70  9  0  0
 3  2      0 13118668 236152 5977264    0    0     0  1772 11242 25148 12  8 54 25  0  0
 4  1      0 13114220 236172 5977352    0    0     0  1388 7002 12659  8  6 70 16  0  0
 2  1      0 13110232 236184 5981940    0    0     0   876 10094 18856 13 10 69  8  0  0
 3  2      0 13109908 236200 5981988    0    0     0  1744 7220 10231  8  7 63 21  0  0
 4  1      0 13104904 236220 5982084    0    0     0  1280 10028 21440 12  8 69 11  0  0
 1  1      0 13084764 236244 5986600    0    0     0   624 11402 23619 12 10 70  8  0  0
 5  2      0 13082148 236264 5986644    0    0     0  1812 8012 14392  9  7 62 22  0  0
 6  2      0 13071380 236276 5986696    0    0     0  1168 6006 5817  8  7 71 14  0  0
 7  0      0 13057968 236300 5987068    0    0     0   736 8925 15043 10  9 72  9  0  0
 9  2      0 13078500 236304 5987176    0    0     0  1740 6544 8526  9  7 52 32  0  0
 1  1      0 13080220 236324 5987280    0    0     0  1336 9142 18899 11  7 70 12  0  0
 8  1      0 13078024 236340 5987800    0    0     0   752 10874 23585 11  9 72  8  0  0
 1  1      0 13080720 236352 5987880    0    0     0  1696 7315 13453  9  7 59 25  0  0
 0  1      0 13072740 236372 5987948    0    0     0  1156 7059 7218  9  7 73 10  0  0
